,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Golden State Warriors,28.3,21.0,4.0,21,4,12.92,-1.17,11.75,113.1,100.2,12.9,99.7,0.239,0.473,0.59,,0.561,14.4,23.5,0.181,,0.492,14.6,80.2,0.183,,Chase Center,289024,18064.0
1,2.0,Utah Jazz,29.7,18.0,7.0,20,5,10.6,-1.13,9.47,117.3,106.5,10.8,98.0,0.248,0.497,0.603,,0.572,13.6,24.6,0.193,,0.5,11.0,78.8,0.16,,Vivint Smart Home Arena,237978,18306.0
2,3.0,Phoenix Suns,27.8,20.0,4.0,17,7,6.38,-0.24,6.13,110.9,104.6,6.3,100.5,0.231,0.346,0.574,,0.543,12.4,20.2,0.179,,0.504,13.9,76.7,0.162,,Phoenix Suns Arena,186077,14314.0
3,4.0,Chicago Bulls,26.4,17.0,9.0,16,10,3.65,-0.47,3.19,110.4,106.7,3.7,98.6,0.231,0.338,0.567,,0.53,12.2,20.7,0.189,,0.512,13.8,78.5,0.193,,United Center,249939,20828.0
4,5.0,Milwaukee Bucks,28.3,16.0,10.0,16,10,3.69,-0.83,2.86,110.4,106.7,3.7,99.4,0.239,0.448,0.562,,0.532,12.9,23.0,0.179,,0.509,12.0,78.5,0.156,,Fiserv Forum,225433,17341.0
5,6.0,Brooklyn Nets,30.7,17.0,8.0,15,10,3.12,-0.78,2.34,110.2,107.0,3.2,98.9,0.253,0.384,0.571,,0.533,12.6,19.4,0.204,,0.492,11.4,76.9,0.185,,Barclays Center,220540,16965.0
6,7.0,Cleveland Cavaliers,24.6,14.0,12.0,16,10,2.92,1.03,3.95,108.3,105.3,3.0,96.9,0.232,0.402,0.56,,0.526,14.4,23.7,0.182,,0.508,13.0,77.3,0.149,,Quicken Loans Arena,230904,17762.0
7,8.0,Miami Heat,28.7,15.0,11.0,15,11,2.73,0.16,2.89,110.7,107.9,2.8,96.1,0.242,0.408,0.57,,0.534,13.8,24.0,0.195,,0.523,14.5,77.5,0.195,,FTX Arena,215600,19600.0
8,9.0,Atlanta Hawks,26.3,13.0,12.0,15,10,2.56,0.44,3.0,114.4,111.8,2.6,97.1,0.22,0.367,0.569,,0.536,11.1,23.9,0.176,,0.525,10.8,78.2,0.157,,State Farm Arena,192888,16074.0
9,10.0,Indiana Pacers,27.2,11.0,16.0,15,12,1.56,0.07,1.63,110.0,108.4,1.6,97.2,0.212,0.399,0.557,,0.526,12.9,23.6,0.165,,0.515,12.1,78.4,0.194,,Bankers Life Fieldhouse,183930,13138.0
10,11.0,Boston Celtics,26.2,13.0,13.0,14,12,1.5,-0.43,1.08,109.3,107.8,1.5,97.1,0.244,0.407,0.554,,0.513,12.4,22.4,0.2,,0.513,12.8,78.5,0.193,,TD Garden,172404,17240.0
11,12.0,Los Angeles Clippers,28.0,14.0,12.0,14,12,1.42,-0.39,1.03,106.4,105.0,1.4,99.3,0.213,0.415,0.553,,0.52,13.7,20.2,0.17,,0.505,13.7,75.9,0.155,,STAPLES Center,273357,16080.0
12,13.0,Memphis Grizzlies,24.0,15.0,11.0,13,13,0.31,0.29,0.6,110.7,110.4,0.3,98.9,0.211,0.379,0.543,,0.515,12.1,28.0,0.159,,0.538,13.7,77.7,0.174,,FedEx Forum,213044,14203.0
13,14.0,Philadelphia 76ers,26.6,14.0,12.0,13,13,0.31,0.03,0.34,110.3,110.0,0.3,95.6,0.236,0.376,0.562,,0.525,11.7,19.7,0.192,,0.519,12.3,75.8,0.176,,Wells Fargo Center,222809,20255.0
14,15.0,San Antonio Spurs,25.2,9.0,15.0,12,12,-0.13,-0.28,-0.4,108.0,108.1,-0.1,99.8,0.185,0.317,0.544,,0.523,11.6,21.7,0.13,,0.528,13.2,77.1,0.148,,AT&T Center,177645,14804.0
15,16.0,Toronto Raptors,24.4,11.0,14.0,12,13,-0.36,0.26,-0.11,109.7,110.1,-0.4,95.7,0.207,0.365,0.53,,0.498,11.5,28.5,0.159,,0.532,14.9,75.2,0.2,,,257400,
16,17.0,Charlotte Hornets,25.8,14.0,13.0,13,14,-0.59,0.68,0.08,112.9,113.5,-0.6,100.7,0.225,0.4,0.565,,0.537,11.3,22.2,0.168,,0.545,13.1,75.4,0.189,,Spectrum Center,181098,16463.0
17,18.0,Denver Nuggets,27.7,12.0,13.0,12,13,-0.56,0.64,0.08,108.7,109.3,-0.6,95.9,0.191,0.415,0.558,,0.533,12.5,19.6,0.144,,0.536,13.1,77.5,0.159,,Ball Arena,183930,16721.0
18,19.0,Washington Wizards,26.4,15.0,11.0,12,14,-0.77,-0.41,-1.18,108.5,109.3,-0.8,96.1,0.252,0.364,0.559,,0.522,12.8,21.3,0.197,,0.501,10.8,77.2,0.197,,Capital One Arena,173793,15799.0
19,20.0,Minnesota Timberwolves,24.0,11.0,14.0,12,13,-0.92,0.18,-0.74,107.5,108.4,-0.9,99.0,0.213,0.458,0.534,,0.502,13.5,27.2,0.163,,0.515,15.0,72.8,0.219,,Target Center,232593,15506.0
20,21.0,New York Knicks,26.7,12.0,13.0,12,13,-1.0,-0.32,-1.32,109.9,111.0,-1.1,96.4,0.24,0.416,0.553,,0.517,12.5,23.9,0.187,,0.516,11.6,76.3,0.177,,Madison Square Garden (IV),235890,18145.0
21,22.0,Dallas Mavericks,27.0,12.0,12.0,11,13,-1.33,0.13,-1.21,107.7,109.1,-1.4,96.4,0.222,0.438,0.543,,0.515,11.3,20.8,0.162,,0.533,13.1,78.3,0.166,,American Airlines Center,233756,19480.0
22,23.0,Los Angeles Lakers,31.0,13.0,13.0,12,14,-1.5,-0.79,-2.29,107.1,108.6,-1.5,101.0,0.238,0.368,0.558,,0.529,13.9,21.7,0.175,,0.522,13.4,76.6,0.188,,STAPLES Center,301403,18838.0
23,24.0,Sacramento Kings,25.6,11.0,14.0,11,14,-2.4,0.33,-2.07,109.6,112.0,-2.4,100.1,0.256,0.394,0.552,,0.517,12.2,23.0,0.194,,0.523,11.8,74.0,0.176,,Golden 1 Center,170034,13080.0
24,25.0,Portland Trail Blazers,27.7,11.0,15.0,11,15,-2.85,1.46,-1.39,110.3,113.2,-2.9,98.1,0.23,0.422,0.559,,0.526,12.3,22.7,0.18,,0.553,12.4,79.4,0.172,,Moda Center,238995,17071.0
25,26.0,Houston Rockets,25.1,8.0,16.0,8,16,-6.0,-1.09,-7.09,103.6,109.5,-5.9,101.4,0.276,0.439,0.549,,0.518,15.7,20.9,0.195,,0.517,12.2,76.8,0.196,,Toyota Center,182399,15200.0
26,27.0,New Orleans Pelicans,25.5,7.0,20.0,8,19,-6.7,0.88,-5.83,106.5,113.4,-6.9,97.0,0.221,0.365,0.531,,0.494,13.4,26.8,0.179,,0.55,12.5,78.6,0.191,,Smoothie King Center,182979,15248.0
27,28.0,Oklahoma City Thunder,22.7,8.0,16.0,6,18,-8.75,0.22,-8.53,100.8,109.7,-8.9,98.5,0.226,0.427,0.512,,0.478,12.7,20.6,0.169,,0.527,12.1,77.5,0.148,,Chesapeake Energy Arena,137250,12477.0
28,29.0,Detroit Pistons,23.7,4.0,20.0,5,19,-9.42,0.54,-8.88,101.3,110.9,-9.6,98.0,0.251,0.415,0.516,,0.474,13.6,22.6,0.198,,0.551,14.5,77.7,0.191,,Little Caesars Arena,155015,12918.0
29,30.0,Orlando Magic,23.1,5.0,21.0,5,21,-10.73,0.83,-9.9,102.1,112.9,-10.8,99.4,0.221,0.43,0.526,,0.493,13.7,21.2,0.167,,0.539,11.5,77.3,0.179,,Amway Center,152845,15285.0
30,,League Average,26.5,,,13,13,0.0,0.0,0.0,108.9,108.9,,98.2,0.23,0.402,0.554,,0.521,12.8,22.8,0.178,,0.521,12.8,77.2,0.178,,,210365,16450.0
